susceptible, exposedN, exposedV, asymptomaticN, asymptomaticV, infectedN, infectedV, quarantined, asymptomatic_total, infected_total, indectious_total0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
52.00,0.00,0.00,0.00,47.00,194.00,70.00,179.00,1336.00,241.00,249.00,490.00
53.00,0.00,0.00,0.00,39.00,163.00,59.00,150.00,1124.00,202.00,209.00,411.00
54.00,0.00,0.00,0.00,33.00,136.00,49.00,126.00,946.00,169.00,175.00,344.00
55.00,0.00,0.00,0.00,27.00,114.00,41.00,105.00,795.00,141.00,146.00,287.00
56.00,0.00,0.00,0.00,23.00,95.00,34.00,88.00,668.00,118.00,122.00,240.00
57.00,0.00,0.00,0.00,19.00,80.00,29.00,74.00,561.00,99.00,103.00,202.00
58.00,0.00,0.00,0.00,16.00,67.00,24.00,62.00,471.00,83.00,86.00,169.00
59.00,0.00,0.00,0.00,13.00,56.00,20.00,51.00,395.00,69.00,71.00,140.00
60.00,0.00,0.00,0.00,11.00,47.00,17.00,43.00,332.00,58.00,60.00,118.00
61.00,0.00,0.00,0.00,9.00,39.00,14.00,36.00,278.00,48.00,50.00,98.00
62.00,0.00,0.00,0.00,8.00,33.00,12.00,30.00,233.00,41.00,42.00,83.00
63.00,0.00,0.00,0.00,7.00,27.00,10.00,25.00,196.00,34.00,35.00,69.00
64.00,0.00,0.00,0.00,6.00,23.00,8.00,21.00,164.00,29.00,29.00,58.00
65.00,0.00,0.00,0.00,5.00,19.00,7.00,18.00,137.00,24.00,25.00,49.00
66.00,0.00,0.00,0.00,4.00,16.00,6.00,15.00,115.00,20.00,21.00,41.00
67.00,0.00,0.00,0.00,3.00,13.00,5.00,12.00,96.00,16.00,17.00,33.00
68.00,0.00,0.00,0.00,3.00,11.00,4.00,10.00,81.00,14.00,14.00,28.00
69.00,0.00,0.00,0.00,2.00,9.00,3.00,9.00,68.00,11.00,12.00,23.00
70.00,0.00,0.00,0.00,2.00,8.00,3.00,7.00,57.00,10.00,10.00,20.00
71.00,0.00,0.00,0.00,2.00,7.00,2.00,6.00,47.00,9.00,8.00,17.00
72.00,0.00,0.00,0.00,1.00,6.00,2.00,5.00,40.00,7.00,7.00,14.00
73.00,0.00,0.00,0.00,1.00,5.00,2.00,4.00,33.00,6.00,6.00,12.00
74.00,0.00,0.00,0.00,1.00,4.00,1.00,4.00,28.00,5.00,5.00,10.00
75.00,0.00,0.00,0.00,1.00,3.00,1.00,3.00,23.00,4.00,4.00,8.00
76.00,0.00,0.00,0.00,1.00,3.00,1.00,2.00,20.00,4.00,3.00,7.00
77.00,0.00,0.00,0.00,1.00,2.00,1.00,2.00,16.00,3.00,3.00,6.00
78.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,14.00,2.00,3.00,5.00
79.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,11.00,2.00,2.00,4.00
80.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,10.00,1.00,1.00,2.00
81.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,8.00,1.00,1.00,2.00
82.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,7.00,1.00,1.00,2.00
83.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,6.00,1.00,1.00,2.00
84.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,5.00,1.00,1.00,2.00
85.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,4.00,1.00,1.00,2.00
86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
88.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
