0.00,0.00
1.00,0.00
2.00,0.00
3.00,0.00
4.00,0.00
5.00,0.00
6.00,0.00
7.00,0.00
8.00,0.00
9.00,0.00
10.00,0.00
11.00,0.00
12.00,0.00
13.00,0.01
14.00,0.01
15.00,0.01
16.00,0.01
17.00,0.01
18.00,0.01
19.00,0.02
20.00,0.02
21.00,0.02
22.00,0.02
23.00,0.03
24.00,0.03
25.00,0.04
26.00,0.04
27.00,0.05
28.00,0.05
29.00,0.06
30.00,0.07
31.00,0.08
32.00,0.10
33.00,0.11
34.00,0.13
35.00,0.14
36.00,0.17
37.00,0.19
38.00,0.22
39.00,0.25
40.00,0.29
41.00,0.33
42.00,0.38
43.00,0.43
44.00,0.49
45.00,0.57
46.00,0.65
47.00,0.74
48.00,0.85
49.00,0.97
50.00,1.12
51.00,1.28
52.00,1.46
53.00,1.67
54.00,1.91
55.00,2.18
56.00,2.50
57.00,2.85
58.00,3.26
59.00,3.71
60.00,4.24
61.00,4.83
62.00,5.49
63.00,6.25
64.00,7.10
65.00,8.06
66.00,9.13
67.00,10.33
68.00,11.68
69.00,13.17
70.00,14.81
71.00,16.63
72.00,18.62
73.00,20.80
74.00,23.15
75.00,25.69
76.00,28.40
77.00,31.28
78.00,34.31
79.00,37.47
80.00,40.74
81.00,44.09
82.00,47.49
83.00,50.90
84.00,54.29
85.00,57.62
86.00,60.87
87.00,64.01
88.00,67.01
89.00,69.85
90.00,72.51
91.00,74.99
92.00,77.29
93.00,79.40
94.00,81.32
95.00,83.07
96.00,84.64
97.00,86.06
98.00,87.33
99.00,88.46
100.00,89.47
101.00,90.36
102.00,91.15
103.00,91.85
104.00,92.47
105.00,93.01
106.00,93.49
107.00,93.92
108.00,94.29
109.00,94.62
110.00,94.90
111.00,95.16
112.00,95.38
113.00,95.57
114.00,95.75
115.00,95.90
116.00,96.03
117.00,96.15
118.00,96.25
119.00,96.34
120.00,96.42
121.00,96.50
122.00,96.56
123.00,96.61
124.00,96.66
125.00,96.71
126.00,96.75
127.00,96.78
128.00,96.81
129.00,96.84
130.00,96.86
131.00,96.88
132.00,96.90
133.00,96.92
134.00,96.93
135.00,96.94
136.00,96.96
137.00,96.97
138.00,96.97
139.00,96.98
140.00,96.99
141.00,97.00
142.00,97.00
143.00,97.01
144.00,97.01
145.00,97.02
146.00,97.02
147.00,97.02
148.00,97.02
149.00,97.03
