date,a,b1,b2,betaN,betaV,sigmaN1,sigmaN2,sigmaV1,sigmaV2,alpha,C,file_path
2022-05-06 17:32:07.985545,1.0,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.005,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=1.0000.csv
2022-05-06 17:42:42.610891,0.0,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.0000.csv
2022-05-06 17:43:01.841459,0.1,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.1000.csv
2022-05-06 17:43:21.051031,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.2000.csv
2022-05-06 17:43:40.510965,0.3,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.3000.csv
2022-05-06 17:43:59.918064,0.4,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.4000.csv
2022-05-06 17:44:19.927286,0.5,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.5000.csv
2022-05-06 17:44:39.339118,0.6,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.6000.csv
2022-05-06 17:44:58.848890,0.7,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.7000.csv
2022-05-06 17:45:17.848082,0.8,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.8000.csv
